"uuid","decision_visibility","decision_visibility_other","end_date_visibility_restriction","decision_monetary","decision_monetary_other","end_date_monetary_restriction","decision_provision","end_date_service_restriction","decision_account","end_date_account_restriction","account_type","decision_ground","decision_ground_reference_url","illegal_content_legal_ground","illegal_content_legal_ground","incompatible_content_ground","incompatible_content_explanation","incompatible_content_illegal","category","category_addition","category_specification","category_specification_other","content_type","content_type_other","content_language","content_date","territorial_scope","application_date","decision_facts","source_type","source_identity","automated_detection","automated_decision","platform_name","created_at"
"ff39328c-f342-4da7-b0c1-5d478b18b1c2","[""DECISION_VISIBILITY_OTHER""]","Video not eligible for recommendation in the For You feed","","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Sexually Suggestive Content","We are mindful that certain behaviors related to sexual arousal or suggestiveness may be offensive to some people and may put young people at risk of exploitation. Content is ineligible for the For You feed and harder to find in search if it shows sex products or intends to sexually arouse (such as intimate kissing, sexualized posing, and seductive performances or allusions to sexual activity by adults). We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.","","STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE","","","","[""CONTENT_TYPE_VIDEO""]","","","2023-09-27 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations.","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
"09bd646b-6982-46fc-b073-1330590a11b5","[""DECISION_VISIBILITY_CONTENT_REMOVED""]","","","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Harassment and Bullying","We welcome the respectful expression of different viewpoints, but not toxicity or trolling. We do not allow language or behavior that harasses, humiliates, threatens, or doxes anyone. This also includes responding to such acts with retaliatory harassment (but excludes non-harassing counterspeech).We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.","","STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH","","","","[""CONTENT_TYPE_TEXT""]","","","2023-09-27 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations.","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
"87e3a6c8-fafd-4142-93cb-3720b21044c0","[""DECISION_VISIBILITY_CONTENT_REMOVED""]","","","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Community Guidelines","Your content is against our Community Guidelines. The guidelines include rules and standards for using TikTok that apply to everyone and everything on our platform.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.","","STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE","","","","[""CONTENT_TYPE_TEXT""]","","","2023-09-27 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations.","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
"424f7b97-aadc-479f-8d2b-2433ae9c203a","[""DECISION_VISIBILITY_CONTENT_REMOVED""]","","","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Community Guidelines","Your content is against our Community Guidelines. The guidelines include rules and standards for using TikTok that apply to everyone and everything on our platform.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.","","STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE","","","","[""CONTENT_TYPE_TEXT""]","","","2023-09-27 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations.","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
"f792c4ed-b3fc-4101-b3ca-4b17a52bcfbe","[""DECISION_VISIBILITY_CONTENT_REMOVED""]","","","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Harassment and Bullying","We welcome the respectful expression of different viewpoints, but not toxicity or trolling. We do not allow language or behavior that harasses, humiliates, threatens, or doxes anyone. This also includes responding to such acts with retaliatory harassment (but excludes non-harassing counterspeech).We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.","","STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH","","","","[""CONTENT_TYPE_TEXT""]","","","2023-09-27 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations.","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
"2daf0ffd-e79e-4dac-aced-545696a01cc6","[""DECISION_VISIBILITY_CONTENT_REMOVED""]","","","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Harassment and Bullying","We welcome the respectful expression of different viewpoints, but not toxicity or trolling. We do not allow language or behavior that harasses, humiliates, threatens, or doxes anyone. This also includes responding to such acts with retaliatory harassment (but excludes non-harassing counterspeech).We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.","","STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH","","","","[""CONTENT_TYPE_TEXT""]","","","2023-09-27 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations.","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
"b8b568c3-60f1-4a6c-b186-feaf907b3c64","[""DECISION_VISIBILITY_OTHER""]","LIVE not eligible for recommendation and restricted in search results for 10 minutes","2023-09-27 00:00:00","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Indhold med lav visuel kvalitet eller statiske billeder","Din LIVE er ikke berettiget til anbefaling og er begrænset i søgeresultater i de næste 10 minutter, fordi den kan indeholde indhold med lav visuel kvalitet eller statiske billeder. Dette er i overensstemmelse med standarderne for Til Dig-feedet i henhold til vores Retningslinjer for Fællesskabet.","","STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE","","","","[""CONTENT_TYPE_VIDEO""]","","","2023-09-27 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IS"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
"bbffde68-d1b9-450c-a983-9d848b85ef0a","[""DECISION_VISIBILITY_CONTENT_REMOVED""]","","","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Community Guidelines","Your content is against our Community Guidelines. The guidelines include rules and standards for using TikTok that apply to everyone and everything on our platform.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.","","STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE","","","","[""CONTENT_TYPE_TEXT""]","","","2023-09-27 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations.","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
"8a8add97-da29-4763-a151-130a6dbfa211","[""DECISION_VISIBILITY_CONTENT_REMOVED""]","","","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Community Guidelines","Your content is against our Community Guidelines. The guidelines include rules and standards for using TikTok that apply to everyone and everything on our platform.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.","","STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE","","","","[""CONTENT_TYPE_IMAGE""]","","","2023-06-25 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations.","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
"ac3af662-b4b7-4ae2-9634-e6112e0157e7","[""DECISION_VISIBILITY_OTHER""]","Video not eligible for recommendation in the For You feed","","","","","","","","","","DECISION_GROUND_INCOMPATIBLE_CONTENT","","","","Sexually Suggestive Content","We are mindful that certain behaviors related to sexual arousal or suggestiveness may be offensive to some people and may put young people at risk of exploitation. Content is ineligible for the For You feed and harder to find in search if it shows sex products or intends to sexually arouse (such as intimate kissing, sexualized posing, and seductive performances or allusions to sexual activity by adults). We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.","","STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE","","","","[""CONTENT_TYPE_VIDEO""]","","","2023-09-27 00:00:00","[""AT"",""BE"",""BG"",""CY"",""CZ"",""DE"",""DK"",""EE"",""ES"",""FI"",""FR"",""GR"",""HR"",""HU"",""IE"",""IT"",""LI"",""LT"",""LU"",""LV"",""MT"",""NL"",""NO"",""PL"",""PT"",""RO"",""SE"",""SI"",""SK""]","2023-09-27 00:00:00","The decision was taken pursuant to own-initiative investigations.","SOURCE_VOLUNTARY","","Yes","AUTOMATED_DECISION_FULLY","TikTok","2023-09-27 12:21:00"
